"","POB","YEAR","MIN","MAX","MINEXPT","MINAWORK","MINEWORK","NEXTYEAR","BIRTHPL"
"1","Alabama",1914,"NR","NR","NR","NR","NR",1917,1
"2","Alabama",1915,"NR","NR","NR","NR","NR",1917,1
"3","Alabama",1916,"NR","NR","NR","NR","NR",1917,1
"4","Alabama",1917,"8","16","6","12","NR",1921,1
"5","Alabama",1918,"8","16","6","12","NR",1921,1
"6","Alabama",1919,"8","16","6","12","NR",1921,1
"7","Alabama",1920,"8","16","6","12","NR",1921,1
"8","Alabama",1921,"8","16","6","14","4",1924,1
"9","Alabama",1922,"8","16","6","14","4",1924,1
"10","Alabama",1923,"8","16","6","14","4",1924,1
"11","Alabama",1924,"8","16","6","14","5",1929,1
"12","Alabama",1925,"8","16","6","14","5",1929,1
"13","Alabama",1926,"8","16","6","14","5",1929,1
"14","Alabama",1927,"8","16","6","14","5",1929,1
"15","Alabama",1928,"8","16","6","14","5",1929,1
"16","Alabama",1929,"8","16","6","14","6",1935,1
"17","Alabama",1930,"8","16","6","14","6",1935,1
"18","Alabama",1931,"8","16","6","14","6",1935,1
"19","Alabama",1932,"8","16","6","14","6",1935,1
"20","Alabama",1933,"8","16","6","14","6",1935,1
"21","Alabama",1934,"8","16","6","14","6",1935,1
"22","Alabama",1935,"7","16","8","14","8",1939,1
"23","Alabama",1936,"7","16","8","14","8",1939,1
"24","Alabama",1937,"7","16","8","14","8",1939,1
"25","Alabama",1938,"7","16","8","14","8",1939,1
"26","Alabama",1939,"7","16","8","14","8",1946,1
"27","Alabama",1940,"7","16","8","14","8",1946,1
"28","Alabama",1941,"7","16","8","14","8",1946,1
"29","Alabama",1942,"7","16","8","14","8",1946,1
"30","Alabama",1943,"7","16","8","14","8",1946,1
"31","Alabama",1944,"7","16","8","14","8",1946,1
"32","Alabama",1945,"7","16","8","14","8",1946,1
"33","Alabama",1946,"7","16","8","14","8",1950,1
"34","Alabama",1947,"7","16","8","14","8",1950,1
"35","Alabama",1948,"7","16","8","14","8",1950,1
"36","Alabama",1949,"7","16","8","14","8",1950,1
"37","Alabama",1950,"7","16","12","16","NR",1954,1
"38","Alabama",1951,"7","16","12","16","NR",1954,1
"39","Alabama",1952,"7","16","12","16","NR",1954,1
"40","Alabama",1953,"7","16","12","16","NR",1954,1
"41","Alabama",1954,"7","16","12","16","NR",1959,1
"42","Alabama",1955,"7","16","12","16","NR",1959,1
"43","Alabama",1956,"7","16","12","16","NR",1959,1
"44","Alabama",1957,"7","16","12","16","NR",1959,1
"45","Alabama",1958,"7","16","12","16","NR",1959,1
"46","Alabama",1959,"7","16","12","16","NR",1965,1
"47","Alabama",1960,"7","16","12","16","NR",1965,1
"48","Alabama",1961,"7","16","12","16","NR",1965,1
"49","Alabama",1962,"7","16","12","16","NR",1965,1
"50","Alabama",1963,"7","16","12","16","NR",1965,1
"51","Alabama",1964,"7","16","12","16","NR",1965,1
"52","Alabama",1965,"7","16","12","16","NR",1972,1
"53","Alabama",1966,"7","16","12","16","NR",1972,1
"54","Alabama",1967,"7","16","12","16","NR",1972,1
"55","Alabama",1968,"7","16","12","16","NR",1972,1
"56","Alabama",1969,"7","16","12","16","NR",1972,1
"57","Alabama",1970,"7","16","12","16","NR",1972,1
"58","Alabama",1971,"7","16","12","16","NR",1972,1
"59","Alabama",1972,"7","16","12","16","NR",1978,1
"60","Alabama",1973,"7","16","12","16","NR",1978,1
"61","Alabama",1974,"7","16","12","16","NR",1978,1
"62","Alabama",1975,"7","16","12","16","NR",1978,1
"63","Alabama",1976,"7","16","12","16","NR",1978,1
"64","Alabama",1977,"7","16","12","16","NR",1978,1
"65","Alabama",1978,"7","16","12","16","NR",1979,1
"66","Arizona",1914,"8","16","8","14","NR",1917,4
"67","Arizona",1915,"8","16","8","14","NR",1917,4
"68","Arizona",1916,"8","16","8","14","NR",1917,4
"69","Arizona",1917,"8","16","6","14","6",1921,4
"70","Arizona",1918,"8","16","6","14","6",1921,4
"71","Arizona",1919,"8","16","6","14","6",1921,4
"72","Arizona",1920,"8","16","6","14","6",1921,4
"73","Arizona",1921,"8","16","8","14","5",1924,4
"74","Arizona",1922,"8","16","8","14","5",1924,4
"75","Arizona",1923,"8","16","8","14","5",1924,4
"76","Arizona",1924,"8","16","8","14","5",1929,4
"77","Arizona",1925,"8","16","8","14","5",1929,4
"78","Arizona",1926,"8","16","8","14","5",1929,4
"79","Arizona",1927,"8","16","8","14","5",1929,4
"80","Arizona",1928,"8","16","8","14","5",1929,4
"81","Arizona",1929,"8","16","8","14","5",1935,4
"82","Arizona",1930,"8","16","8","14","5",1935,4
"83","Arizona",1931,"8","16","8","14","5",1935,4
"84","Arizona",1932,"8","16","8","14","5",1935,4
"85","Arizona",1933,"8","16","8","14","5",1935,4
"86","Arizona",1934,"8","16","8","14","5",1935,4
"87","Arizona",1935,"8","16","8","14","5",1939,4
"88","Arizona",1936,"8","16","8","14","5",1939,4
"89","Arizona",1937,"8","16","8","14","5",1939,4
"90","Arizona",1938,"8","16","8","14","5",1939,4
"91","Arizona",1939,"8","16","8","14","5",1946,4
"92","Arizona",1940,"8","16","8","14","5",1946,4
"93","Arizona",1941,"8","16","8","14","5",1946,4
"94","Arizona",1942,"8","16","8","14","5",1946,4
"95","Arizona",1943,"8","16","8","14","5",1946,4
"96","Arizona",1944,"8","16","8","14","5",1946,4
"97","Arizona",1945,"8","16","8","14","5",1946,4
"98","Arizona",1946,"8","16","8","14","5",1950,4
"99","Arizona",1947,"8","16","8","14","5",1950,4
"100","Arizona",1948,"8","16","8","14","5",1950,4
"101","Arizona",1949,"8","16","8","14","5",1950,4
"102","Arizona",1950,"8","16","8","14","5",1954,4
"103","Arizona",1951,"8","16","8","14","5",1954,4
"104","Arizona",1952,"8","16","8","14","5",1954,4
"105","Arizona",1953,"8","16","8","14","5",1954,4
"106","Arizona",1954,"8","16","8","14","5",1959,4
"107","Arizona",1955,"8","16","8","14","5",1959,4
"108","Arizona",1956,"8","16","8","14","5",1959,4
"109","Arizona",1957,"8","16","8","14","5",1959,4
"110","Arizona",1958,"8","16","8","14","5",1959,4
"111","Arizona",1959,"8","16","8","14","5",1965,4
"112","Arizona",1960,"8","16","8","14","5",1965,4
"113","Arizona",1961,"8","16","8","14","5",1965,4
"114","Arizona",1962,"8","16","8","14","5",1965,4
"115","Arizona",1963,"8","16","8","14","5",1965,4
"116","Arizona",1964,"8","16","8","14","5",1965,4
"117","Arizona",1965,"8","16","8","14","5",1972,4
"118","Arizona",1966,"8","16","8","14","5",1972,4
"119","Arizona",1967,"8","16","8","14","5",1972,4
"120","Arizona",1968,"8","16","8","14","5",1972,4
"121","Arizona",1969,"8","16","8","14","5",1972,4
"122","Arizona",1970,"8","16","8","14","5",1972,4
"123","Arizona",1971,"8","16","8","14","5",1972,4
"124","Arizona",1972,"8","16","8","14","5",1978,4
"125","Arizona",1973,"8","16","8","14","5",1978,4
"126","Arizona",1974,"8","16","8","14","5",1978,4
"127","Arizona",1975,"8","16","8","14","5",1978,4
"128","Arizona",1976,"8","16","8","14","5",1978,4
"129","Arizona",1977,"8","16","8","14","5",1978,4
"130","Arizona",1978,"8","16","8","14","NR",1979,4
"131","Arkansas",1914,"8","16","NR","NR","NR",1917,5
"132","Arkansas",1915,"8","16","NR","NR","NR",1917,5
"133","Arkansas",1916,"8","16","NR","NR","NR",1917,5
"134","Arkansas",1917,"7","15","6","14","4",1921,5
"135","Arkansas",1918,"7","15","6","14","4",1921,5
"136","Arkansas",1919,"7","15","6","14","4",1921,5
"137","Arkansas",1920,"7","15","6","14","4",1921,5
"138","Arkansas",1921,"7","15","7","14","4",1924,5
"139","Arkansas",1922,"7","15","7","14","4",1924,5
"140","Arkansas",1923,"7","15","7","14","4",1924,5
"141","Arkansas",1924,"7","15","7","14","4",1929,5
"142","Arkansas",1925,"7","15","7","14","4",1929,5
"143","Arkansas",1926,"7","15","7","14","4",1929,5
"144","Arkansas",1927,"7","15","7","14","4",1929,5
"145","Arkansas",1928,"7","15","7","14","4",1929,5
"146","Arkansas",1929,"7","16","7","14","4",1935,5
"147","Arkansas",1930,"7","16","7","14","4",1935,5
"148","Arkansas",1931,"7","16","7","14","4",1935,5
"149","Arkansas",1932,"7","16","7","14","4",1935,5
"150","Arkansas",1933,"7","16","7","14","4",1935,5
"151","Arkansas",1934,"7","16","7","14","4",1935,5
"152","Arkansas",1935,"7","16","8","14","4",1939,5
"153","Arkansas",1936,"7","16","8","14","4",1939,5
"154","Arkansas",1937,"7","16","8","14","4",1939,5
"155","Arkansas",1938,"7","16","8","14","4",1939,5
"156","Arkansas",1939,"7","16","8","14","4",1946,5
"157","Arkansas",1940,"7","16","8","14","4",1946,5
"158","Arkansas",1941,"7","16","8","14","4",1946,5
"159","Arkansas",1942,"7","16","8","14","4",1946,5
"160","Arkansas",1943,"7","16","8","14","4",1946,5
"161","Arkansas",1944,"7","16","8","14","4",1946,5
"162","Arkansas",1945,"7","16","8","14","4",1946,5
"163","Arkansas",1946,"7","16","8","14","4",1950,5
"164","Arkansas",1947,"7","16","8","14","4",1950,5
"165","Arkansas",1948,"7","16","8","14","4",1950,5
"166","Arkansas",1949,"7","16","8","14","4",1950,5
"167","Arkansas",1950,"7","16","8","14","4",1954,5
"168","Arkansas",1951,"7","16","8","14","4",1954,5
"169","Arkansas",1952,"7","16","8","14","4",1954,5
"170","Arkansas",1953,"7","16","8","14","4",1954,5
"171","Arkansas",1954,"7","16","8","14","4",1959,5
"172","Arkansas",1955,"7","16","8","14","4",1959,5
"173","Arkansas",1956,"7","16","8","14","4",1959,5
"174","Arkansas",1957,"7","16","8","14","4",1959,5
"175","Arkansas",1958,"7","16","8","14","4",1959,5
"176","Arkansas",1959,"7","16","8","14","4",1965,5
"177","Arkansas",1960,"7","16","8","14","4",1965,5
"178","Arkansas",1961,"7","16","8","14","4",1965,5
"179","Arkansas",1962,"7","16","8","14","4",1965,5
"180","Arkansas",1963,"7","16","8","14","4",1965,5
"181","Arkansas",1964,"7","16","8","14","4",1965,5
"182","Arkansas",1965,"7","16","8","14","4",1972,5
"183","Arkansas",1966,"7","16","8","14","4",1972,5
"184","Arkansas",1967,"7","16","8","14","4",1972,5
"185","Arkansas",1968,"7","16","8","14","4",1972,5
"186","Arkansas",1969,"7","16","8","14","4",1972,5
"187","Arkansas",1970,"7","16","8","14","4",1972,5
"188","Arkansas",1971,"7","16","8","14","4",1972,5
"189","Arkansas",1972,"7","16","8","14","8",1978,5
"190","Arkansas",1973,"7","16","8","14","8",1978,5
"191","Arkansas",1974,"7","16","8","14","8",1978,5
"192","Arkansas",1975,"7","16","8","14","8",1978,5
"193","Arkansas",1976,"7","16","8","14","8",1978,5
"194","Arkansas",1977,"7","16","8","14","8",1978,5
"195","Arkansas",1978,"7","15","8","14","8",1979,5
"196","Californ",1914,"8","15","8","14","NR",1917,6
"197","Californ",1915,"8","15","8","14","NR",1917,6
"198","Californ",1916,"8","15","8","14","NR",1917,6
"199","Californ",1917,"8","15","6","14","6",1921,6
"200","Californ",1918,"8","15","6","14","6",1921,6
"201","Californ",1919,"8","15","6","14","6",1921,6
"202","Californ",1920,"8","15","6","14","6",1921,6
"203","Californ",1921,"8","16","NR","15","7",1924,6
"204","Californ",1922,"8","16","NR","15","7",1924,6
"205","Californ",1923,"8","16","NR","15","7",1924,6
"206","Californ",1924,"8","16","NR","15","7",1929,6
"207","Californ",1925,"8","16","NR","15","7",1929,6
"208","Californ",1926,"8","16","NR","15","7",1929,6
"209","Californ",1927,"8","16","NR","15","7",1929,6
"210","Californ",1928,"8","16","NR","15","7",1929,6
"211","Californ",1929,"8","16","NR","15","7",1935,6
"212","Californ",1930,"8","16","NR","15","7",1935,6
"213","Californ",1931,"8","16","NR","15","7",1935,6
"214","Californ",1932,"8","16","NR","15","7",1935,6
"215","Californ",1933,"8","16","NR","15","7",1935,6
"216","Californ",1934,"8","16","NR","15","7",1935,6
"217","Californ",1935,"8","16","12","15","8",1939,6
"218","Californ",1936,"8","16","12","15","8",1939,6
"219","Californ",1937,"8","16","12","15","8",1939,6
"220","Californ",1938,"8","16","12","15","8",1939,6
"221","Californ",1939,"8","16","12","15","8",1946,6
"222","Californ",1940,"8","16","12","15","8",1946,6
"223","Californ",1941,"8","16","12","15","8",1946,6
"224","Californ",1942,"8","16","12","15","8",1946,6
"225","Californ",1943,"8","16","12","15","8",1946,6
"226","Californ",1944,"8","16","12","15","8",1946,6
"227","Californ",1945,"8","16","12","15","8",1946,6
"228","Californ",1946,"8","16","8","15","8",1950,6
"229","Californ",1947,"8","16","8","15","8",1950,6
"230","Californ",1948,"8","16","8","15","8",1950,6
"231","Californ",1949,"8","16","8","15","8",1950,6
"232","Californ",1950,"8","16","8","15","8",1954,6
"233","Californ",1951,"8","16","8","15","8",1954,6
"234","Californ",1952,"8","16","8","15","8",1954,6
"235","Californ",1953,"8","16","8","15","8",1954,6
"236","Californ",1954,"8","16","NR","15","8",1959,6
"237","Californ",1955,"8","16","NR","15","8",1959,6
"238","Californ",1956,"8","16","NR","15","8",1959,6
"239","Californ",1957,"8","16","NR","15","8",1959,6
"240","Californ",1958,"8","16","NR","15","8",1959,6
"241","Californ",1959,"8","16","8","15","8",1965,6
"242","Californ",1960,"8","16","8","15","8",1965,6
"243","Californ",1961,"8","16","8","15","8",1965,6
"244","Californ",1962,"8","16","8","15","8",1965,6
"245","Californ",1963,"8","16","8","15","8",1965,6
"246","Californ",1964,"8","16","8","15","8",1965,6
"247","Californ",1965,"8","16","8","15","8",1972,6
"248","Californ",1966,"8","16","8","15","8",1972,6
"249","Californ",1967,"8","16","8","15","8",1972,6
"250","Californ",1968,"8","16","8","15","8",1972,6
"251","Californ",1969,"8","16","8","15","8",1972,6
"252","Californ",1970,"8","16","8","15","8",1972,6
"253","Californ",1971,"8","16","8","15","8",1972,6
"254","Californ",1972,"8","16","8","15","8",1978,6
"255","Californ",1973,"8","16","8","15","8",1978,6
"256","Californ",1974,"8","16","8","15","8",1978,6
"257","Californ",1975,"8","16","8","15","8",1978,6
"258","Californ",1976,"8","16","8","15","8",1978,6
"259","Californ",1977,"8","16","8","15","8",1978,6
"260","Californ",1978,"6","16","12","16","6",1979,6
"261","Colorado",1914,"8","16","8","14","NR",1917,8
"262","Colorado",1915,"8","16","8","14","NR",1917,8
"263","Colorado",1916,"8","16","8","14","NR",1917,8
"264","Colorado",1917,"8","16","6","14","NR",1921,8
"265","Colorado",1918,"8","16","6","14","NR",1921,8
"266","Colorado",1919,"8","16","6","14","NR",1921,8
"267","Colorado",1920,"8","16","6","14","NR",1921,8
"268","Colorado",1921,"8","16","8","14","NR",1924,8
"269","Colorado",1922,"8","16","8","14","NR",1924,8
"270","Colorado",1923,"8","16","8","14","NR",1924,8
"271","Colorado",1924,"8","16","8","14","NR",1929,8
"272","Colorado",1925,"8","16","8","14","NR",1929,8
"273","Colorado",1926,"8","16","8","14","NR",1929,8
"274","Colorado",1927,"8","16","8","14","NR",1929,8
"275","Colorado",1928,"8","16","8","14","NR",1929,8
"276","Colorado",1929,"8","16","8","14","NR",1935,8
"277","Colorado",1930,"8","16","8","14","NR",1935,8
"278","Colorado",1931,"8","16","8","14","NR",1935,8
"279","Colorado",1932,"8","16","8","14","NR",1935,8
"280","Colorado",1933,"8","16","8","14","NR",1935,8
"281","Colorado",1934,"8","16","8","14","NR",1935,8
"282","Colorado",1935,"8","16","8","14","NR",1939,8
"283","Colorado",1936,"8","16","8","14","NR",1939,8
"284","Colorado",1937,"8","16","8","14","NR",1939,8
"285","Colorado",1938,"8","16","8","14","NR",1939,8
"286","Colorado",1939,"8","16","8","14","NR",1946,8
"287","Colorado",1940,"8","16","8","14","NR",1946,8
"288","Colorado",1941,"8","16","8","14","NR",1946,8
"289","Colorado",1942,"8","16","8","14","NR",1946,8
"290","Colorado",1943,"8","16","8","14","NR",1946,8
"291","Colorado",1944,"8","16","8","14","NR",1946,8
"292","Colorado",1945,"8","16","8","14","NR",1946,8
"293","Colorado",1946,"8","16","8","14","NR",1950,8
"294","Colorado",1947,"8","16","8","14","NR",1950,8
"295","Colorado",1948,"8","16","8","14","NR",1950,8
"296","Colorado",1949,"8","16","8","14","NR",1950,8
"297","Colorado",1950,"8","16","8","14","NR",1954,8
"298","Colorado",1951,"8","16","8","14","NR",1954,8
"299","Colorado",1952,"8","16","8","14","NR",1954,8
"300","Colorado",1953,"8","16","8","14","NR",1954,8
"301","Colorado",1954,"8","16","8","14","NR",1959,8
"302","Colorado",1955,"8","16","8","14","NR",1959,8
"303","Colorado",1956,"8","16","8","14","NR",1959,8
"304","Colorado",1957,"8","16","8","14","NR",1959,8
"305","Colorado",1958,"8","16","8","14","NR",1959,8
"306","Colorado",1959,"8","16","8","14","NR",1965,8
"307","Colorado",1960,"8","16","8","14","NR",1965,8
"308","Colorado",1961,"8","16","8","14","NR",1965,8
"309","Colorado",1962,"8","16","8","14","NR",1965,8
"310","Colorado",1963,"8","16","8","14","NR",1965,8
"311","Colorado",1964,"8","16","8","14","NR",1965,8
"312","Colorado",1965,"7","16","12","16","NR",1972,8
"313","Colorado",1966,"7","16","12","16","NR",1972,8
"314","Colorado",1967,"7","16","12","16","NR",1972,8
"315","Colorado",1968,"7","16","12","16","NR",1972,8
"316","Colorado",1969,"7","16","12","16","NR",1972,8
