,POB,YEAR,MIN,MAX,req_sch,work_age,work_sch,NEXTYEAR,BIRTHPL,ca,cl,ca8,ca9,ca10,ca11,cl6,cl7,cl8,cl9
1,Alabama,1914,0,0,0,0,0,1917,1,0,0,1,0,0,0,1,0,0,0
2,Alabama,1915,0,0,0,0,0,1917,1,0,0,1,0,0,0,1,0,0,0
3,Alabama,1916,0,0,0,0,0,1917,1,0,0,1,0,0,0,1,0,0,0
4,Alabama,1917,8,16,6,12,0,1921,1,8,4,1,0,0,0,1,0,0,0
5,Alabama,1918,8,16,6,12,0,1921,1,8,4,1,0,0,0,1,0,0,0
6,Alabama,1919,8,16,6,12,0,1921,1,8,4,1,0,0,0,1,0,0,0
7,Alabama,1920,8,16,6,12,0,1921,1,8,4,1,0,0,0,1,0,0,0
8,Alabama,1921,8,16,6,14,4,1924,1,8,6,1,0,0,0,1,0,0,0
9,Alabama,1922,8,16,6,14,4,1924,1,8,6,1,0,0,0,1,0,0,0
10,Alabama,1923,8,16,6,14,4,1924,1,8,6,1,0,0,0,1,0,0,0
11,Alabama,1924,8,16,6,14,5,1929,1,8,6,1,0,0,0,1,0,0,0
12,Alabama,1925,8,16,6,14,5,1929,1,8,6,1,0,0,0,1,0,0,0
13,Alabama,1926,8,16,6,14,5,1929,1,8,6,1,0,0,0,1,0,0,0
14,Alabama,1927,8,16,6,14,5,1929,1,8,6,1,0,0,0,1,0,0,0
15,Alabama,1928,8,16,6,14,5,1929,1,8,6,1,0,0,0,1,0,0,0
16,Alabama,1929,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
17,Alabama,1930,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
18,Alabama,1931,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
19,Alabama,1932,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
20,Alabama,1933,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
21,Alabama,1934,8,16,6,14,6,1935,1,8,6,1,0,0,0,1,0,0,0
22,Alabama,1935,7,16,8,14,8,1939,1,9,8,0,1,0,0,0,0,1,0
23,Alabama,1936,7,16,8,14,8,1939,1,9,8,0,1,0,0,0,0,1,0
24,Alabama,1937,7,16,8,14,8,1939,1,9,8,0,1,0,0,0,0,1,0
25,Alabama,1938,7,16,8,14,8,1939,1,9,8,0,1,0,0,0,0,1,0
26,Alabama,1939,7,16,8,14,8,1946,1,9,8,0,1,0,0,0,0,1,0
27,Alabama,1940,7,16,8,14,8,1946,1,9,8,0,1,0,0,0,0,1,0
28,Alabama,1941,7,16,8,14,8,1946,1,9,8,0,1,0,0,0,0,1,0
